SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;codicePluviometroCentroFunzionale;nomeStazioneCentroFunzionale2;codiceTermometroCentroFunzionale;nomeStazioneCentroFunzionale;Elevation_flag
140;145510;Mugnano del Cardinale;14.62530556;40.941305560000004;236;Campania;OD:145510;36881;Mugnano del Cardinale;NA;NA;1
141;145520;Melito Irpino;15.05355556;41.09102778;347;Campania;OD:145520;37530;Melito Irpino;NA;NA;1
142;145530;Pago Veiano;14.89761111;41.25983333;287;Campania;OD:145530;36914;Pago Veiano;NA;NA;1
143;145540;Capua;14.20833333;41.10886111;24;Campania;OD:145540;37534;Capua;NA;NA;1
144;145550;Sicignano;15.29258333;40.60469444;201;Campania;OD:145550;36891;Sicignano;NA;NA;1
145;145560;S.Marzano Sarno;14.57330556;40.77994444;15;Campania;OD:145560;36887;S.Marzano Sarno;NA;NA;1
146;145570;Sala Consilina Tanagro;15.57152778;40.39119444;453;Campania;OD:145570;37378;Sala Consilina Tanagro;NA;NA;1
147;145580;Morigerati Bussento;15.54394444;40.134;148;Campania;OD:145580;37286;Morigerati Bussento;NA;NA;1
148;145590;Albanella Calore;15.04280556;40.51208333;24;Campania;OD:145590;36572;Albanella Calore;NA;NA;1
149;145600;Costa dei Corvi;15.35163889;40.63736111;550;Campania;OD:145600;36911;Costa dei Corvi;36912;Costa dei Corvi;1
150;145610;S.Agata dei Goti Isclero;14.464;41.10236111;76;Campania;OD:145610;36920;S.Agata dei Goti Isclero;NA;NA;1
151;145620;Ailano;14.17280556;41.38247222;124;Campania;OD:145620;37374;Ailano;NA;NA;1
152;145630;Cicciano;14.54094444;40.95911111;54;Campania;OD:145630;37539;Cicciano;NA;NA;1
153;145690;Agerola METEO;14.54061111;40.64683333;818;Campania;OD:145690;36428;Agerola METEO-1;36423;Agerola METEO-1;1
154;145700;Ariano Irpino METEO;15.13608333;41.19661111;626;Campania;OD:145700;36478;Ariano Irpino METEO-1;36473;Ariano Irpino METEO-1;1
155;145710;S.Marco Evangelista METEO;14.33586111;41.0225;31;Campania;OD:145710;38667;S.Marco Evangelista METEO-1;38662;S.Marco Evangelista METEO-1;1
