SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;Elevation_flag
217;D400;Pescincanna;12.7493;45.9427;27;FVG;OD:D400;1
218;D401;SQUARZARE';12.6177;45.8439;12;FVG;OD:D401;1
219;E001;Biauzzo;12.9418;45.9668;49;FVG;OD:E001;1
220;E002;Codroipo centro;12.9788;45.9631;43;FVG;OD:E002;1
221;E003;Campomolle;13.0273;45.8485;10;FVG;OD:E003;1
222;E004;Teor;13.0466;45.851;11;FVG;OD:E004;1
223;E005;Flambruzzo;13.067;45.884;12;FVG;OD:E005;1
224;E006;Flambruzzo villa Badoglio;13.0697;45.8845;12;FVG;OD:E006;1
225;E007;Case Zoncolan;13.0831;45.8779;13;FVG;OD:E007;1
226;E008;Ariis;13.0881;45.8725;11;FVG;OD:E008;1
227;E009;Ariis cimitero;13.0946;45.8699;11;FVG;OD:E009;1
228;E010;Ariis Parco;13.0839;45.872;11;FVG;OD:E010;1
229;E011;ARIIS CENTRO E.T.P.;13.0835;45.8718;11;FVG;OD:E011;1
230;E012;Casali Sacile;13.0818;45.8633;10;FVG;OD:E012;1
231;E013;Casali Petazzo;13.1051;45.8682;11;FVG;OD:E013;1
232;E014;Pocenia;13.086;45.8364;5;FVG;OD:E014;1
233;E015;Case Trevisan;13.102;45.8136;6;FVG;OD:E015;1
234;E016;Casali Gambellini;13.0943;45.8462;9;FVG;OD:E016;1
235;E019;LATISANA CROSERE;13.0221;45.7865;5;FVG;OD:E019;1
236;E020;RIVAROTTA;13.081;45.8193;6;FVG;OD:E020;1
237;E021;PRECENICCO;13.0765;45.7873;3;FVG;OD:E021;1
238;E024;POCENIA ZONA INDUSTRIALE;13.1132;45.8332;9;FVG;OD:E024;1
239;E025;Palazzolo dello Stella;13.0743;45.8033;4;FVG;OD:E025;1
240;E033;Casa di guardia;13.0859;45.9041;20;FVG;OD:E033;1
241;E200;SAN DANIELE DEL FRIULI;13.014;46.1569;190;FVG;OD:E200;1
242;E201;SAN MAURO;13.0265;46.1469;166;FVG;OD:E201;1
243;E202;CODROIPO;12.9873;45.967;49;FVG;OD:E202;1
244;E203;Zompicchia;13.0016;45.9648;42;FVG;OD:E203;1
245;E206;GORICIZZA CASERME;12.9761;45.9697;47;FVG;OD:E206;1
246;E207;Coseano;13.0262;46.0851;120;FVG;OD:E207;1
